HotelCustomerID,StayID,CheckInDate,CheckOutDate,RoomType,DollarsSpent,BookingType,TravelCategory,NumberOfNights
A000001,S000001,9/7/2017 0:00,9/12/2017 0:00,Large,440,Online,Business,5
A000001,S000002,3/16/2015 0:00,3/21/2015 0:00,Small,257,Online,Business,5
A000001,S000003,9/6/2014 0:00,9/8/2014 0:00,Large,303,Online,Leisure,2
A000001,S000004,4/14/2016 0:00,4/19/2016 0:00,Small,425,Phone Call,Business,5
A000001,S000005,11/8/2016 0:00,11/8/2016 0:00,Small,151,Phone Call,Leisure,0
A000001,S000006,6/21/2015 0:00,6/24/2015 0:00,Large,472,Phone Call,Leisure,3
A000001,S000007,3/31/2015 0:00,3/31/2015 0:00,Large,294,Online,Business,0
A000001,S000008,1/8/2016 0:00,1/9/2016 0:00,Large,459,Phone Call,Business,1
A000002,S000009,10/2/2017 0:00,10/8/2017 0:00,Large,432,Phone Call,Leisure,6
A000002,S000010,8/30/2017 0:00,9/4/2017 0:00,Small,266,Online,Business,5
A000002,S000011,8/17/2014 0:00,8/21/2014 0:00,Large,292,Online,Business,4
A000002,S000012,2/11/2017 0:00,2/11/2017 0:00,Large,395,Online,Business,0
A000003,S000013,8/27/2016 0:00,8/31/2016 0:00,Small,360,Phone Call,Business,4
A000003,S000014,1/21/2014 0:00,1/26/2014 0:00,Small,208,Online,Business,5
A000003,S000015,5/12/2014 0:00,5/17/2014 0:00,Large,287,Online,Leisure,5
A000003,S000016,4/23/2015 0:00,4/27/2015 0:00,Large,328,Online,Business,4
A000003,S000017,2/10/2017 0:00,2/12/2017 0:00,Large,425,Online,Business,2
A000003,S000018,4/13/2016 0:00,4/17/2016 0:00,Small,438,Online,Business,4
A000003,S000019,1/29/2014 0:00,1/31/2014 0:00,Large,468,Online,Business,2
A000003,S000020,12/1/2016 0:00,12/5/2016 0:00,Large,269,Online,Business,4
A000004,S000021,7/26/2015 0:00,7/30/2015 0:00,Large,477,Phone Call,Leisure,4
A000004,S000022,6/28/2016 0:00,6/30/2016 0:00,Large,169,Online,Leisure,2
A000004,S000023,2/23/2015 0:00,2/28/2015 0:00,Small,352,Online,Business,5
A000004,S000024,12/23/2016 0:00,12/29/2016 0:00,Small,326,Online,Business,6
A000004,S000025,2/1/2015 0:00,2/5/2015 0:00,Large,496,Online,Leisure,4
A000004,S000026,4/14/2017 0:00,4/14/2017 0:00,Small,248,Phone Call,Business,0
A000004,S000027,2/13/2015 0:00,2/15/2015 0:00,Small,298,Phone Call,Leisure,2
A000005,S000028,7/16/2015 0:00,7/17/2015 0:00,Large,370,Phone Call,Leisure,1
A000005,S000029,12/9/2015 0:00,12/11/2015 0:00,Large,470,Phone Call,Leisure,2
A000005,S000030,10/21/2015 0:00,10/24/2015 0:00,Small,442,Online,Business,3
A000006,S000031,4/21/2017 0:00,4/27/2017 0:00,Large,172,Online,Business,6
A000006,S000032,3/24/2015 0:00,3/30/2015 0:00,Small,402,Online,Leisure,6
A000006,S000033,6/20/2014 0:00,6/22/2014 0:00,Large,289,Online,Leisure,2
A000006,S000034,8/12/2016 0:00,8/18/2016 0:00,Large,113,Online,Business,6
A000006,S000035,9/9/2014 0:00,9/11/2014 0:00,Large,255,Phone Call,Business,2
A000006,S000036,12/25/2015 0:00,12/27/2015 0:00,Large,422,Online,Leisure,2
A000007,S000037,2/17/2015 0:00,2/21/2015 0:00,Small,248,Phone Call,Leisure,4
A000008,S000038,11/11/2015 0:00,11/12/2015 0:00,Large,417,Phone Call,Business,1
A000008,S000039,5/8/2016 0:00,5/11/2016 0:00,Small,488,Phone Call,Business,3
A000008,S000040,2/6/2014 0:00,2/10/2014 0:00,Small,483,Online,Business,4
A000008,S000041,10/18/2016 0:00,10/18/2016 0:00,Large,298,Online,Business,0
A000008,S000042,3/30/2014 0:00,3/30/2014 0:00,Large,371,Phone Call,Business,0
A000008,S000043,9/21/2017 0:00,9/25/2017 0:00,Large,192,Phone Call,Business,4
A000009,S000044,7/12/2016 0:00,7/14/2016 0:00,Small,211,Phone Call,Leisure,2
A000009,S000045,3/28/2015 0:00,3/30/2015 0:00,Large,237,Online,Leisure,2
A000010,S000046,10/4/2014 0:00,10/4/2014 0:00,Small,171,Online,Business,0
A000011,S000047,4/1/2017 0:00,4/7/2017 0:00,Large,306,Phone Call,Leisure,6
A000011,S000048,3/6/2017 0:00,3/11/2017 0:00,Large,359,Online,Business,5
A000011,S000049,8/1/2016 0:00,8/6/2016 0:00,Small,453,Online,Business,5
A000011,S000050,4/29/2015 0:00,5/4/2015 0:00,Small,120,Online,Business,5
A000011,S000051,9/6/2016 0:00,9/6/2016 0:00,Small,98,Online,Business,0
A000012,S000052,10/28/2016 0:00,11/3/2016 0:00,Small,167,Phone Call,Business,6
A000012,S000053,7/5/2014 0:00,7/7/2014 0:00,Small,449,Online,Business,2
A000012,S000054,6/27/2016 0:00,6/27/2016 0:00,Large,311,Online,Leisure,0
A000012,S000055,1/4/2015 0:00,1/8/2015 0:00,Large,230,Online,Business,4
A000012,S000056,2/2/2016 0:00,2/3/2016 0:00,Small,455,Online,Business,1
