ContactId,PurchaseId,ProductId,PurchasedOn,TotalPrice,ActivityTypeDisplay,Subject
CNTID_1000,OPID_1000,ProdID_1007,1/20/2019,2516,OnlinePurchase,Purchased a product online
CNTID_1000,OPID_1001,ProdID_1032,11/4/2018,2597,OnlinePurchase,Purchased a product online
CNTID_1000,OPID_1002,ProdID_1012,10/10/2018,2589,OnlinePurchase,Purchased a product online
CNTID_1000,OPID_1003,ProdID_1038,3/7/2018,144,OnlinePurchase,Purchased a product online
98e79d76-a45a-e911-a970-000d3a39c2c9,OPID_1004,ProdID_1010,8/8/2017,90,OnlinePurchase,Purchased a product online
CNTID_1003,OPID_1005,ProdID_1047,8/9/2017,47,OnlinePurchase,Purchased a product online
CNTID_1004,OPID_1006,ProdID_1004,7/22/2018,209,OnlinePurchase,Purchased a product online
f4444de5-664e-e911-a9ac-000d3a2d57c3,OPID_1007,ProdID_1025,12/29/2017,77,OnlinePurchase,Purchased a product online
f4444de5-664e-e911-a9ac-000d3a2d57c3,OPID_1008,ProdID_1010,8/7/2018,90,OnlinePurchase,Purchased a product online
CNTID_1006,OPID_1009,ProdID_1000,10/25/2018,66,OnlinePurchase,Purchased a product online
CNTID_1006,OPID_1010,ProdID_1032,1/13/2019,245,OnlinePurchase,Purchased a product online
CNTID_1008,OPID_1011,ProdID_1014,11/4/2018,59,OnlinePurchase,Purchased a product online
CNTID_1008,OPID_1012,ProdID_1021,1/12/2019,247,OnlinePurchase,Purchased a product online
CNTID_1008,OPID_1013,ProdID_1046,1/22/2019,82,OnlinePurchase,Purchased a product online
CNTID_1009,OPID_1014,ProdID_1031,3/31/2017,204,OnlinePurchase,Purchased a product online
CNTID_1009,OPID_1015,ProdID_1033,6/13/2018,88,OnlinePurchase,Purchased a product online
CNTID_1009,OPID_1016,ProdID_1016,7/26/2018,54,OnlinePurchase,Purchased a product online
CNTID_1009,OPID_1017,ProdID_1041,11/28/2018,159,OnlinePurchase,Purchased a product online
CNTID_1009,OPID_1018,ProdID_1044,12/17/2018,83,OnlinePurchase,Purchased a product online
CNTID_1010,OPID_1019,ProdID_1010,12/17/2017,224,OnlinePurchase,Purchased a product online
CNTID_1010,OPID_1020,ProdID_1025,8/13/2018,213,OnlinePurchase,Purchased a product online
CNTID_1011,OPID_1021,ProdID_1047,7/29/2018,92,OnlinePurchase,Purchased a product online
CNTID_1012,OPID_1022,ProdID_1034,6/14/2017,246,OnlinePurchase,Purchased a product online
CNTID_1014,OPID_1023,ProdID_1042,3/9/2018,101,OnlinePurchase,Purchased a product online
CNTID_1014,OPID_1024,ProdID_1013,7/11/2018,2461,OnlinePurchase,Purchased a product online
CNTID_1014,OPID_1025,ProdID_1000,9/16/2018,2534,OnlinePurchase,Purchased a product online
CNTID_1014,OPID_1026,ProdID_1018,10/15/2018,2487,OnlinePurchase,Purchased a product online
CNTID_1014,OPID_1027,ProdID_1012,12/11/2018,2504,OnlinePurchase,Purchased a product online
CNTID_1015,OPID_1028,ProdID_1004,1/20/2017,186,OnlinePurchase,Purchased a product online
CNTID_1015,OPID_1029,ProdID_1001,11/27/2018,80,OnlinePurchase,Purchased a product online
CNTID_1015,OPID_1030,ProdID_1048,1/17/2019,200,OnlinePurchase,Purchased a product online
CNTID_1016,OPID_1031,ProdID_1020,7/21/2018,226,OnlinePurchase,Purchased a product online
CNTID_1017,OPID_1032,ProdID_1017,2/26/2018,216,OnlinePurchase,Purchased a product online
CNTID_1017,OPID_1033,ProdID_1017,12/28/2018,2570,OnlinePurchase,Purchased a product online
CNTID_1017,OPID_1034,ProdID_1036,1/3/2019,2496,OnlinePurchase,Purchased a product online
CNTID_1017,OPID_1035,ProdID_1037,1/26/2019,2593,OnlinePurchase,Purchased a product online
CNTID_1018,OPID_1036,ProdID_1028,5/9/2017,202,OnlinePurchase,Purchased a product online
CNTID_1018,OPID_1037,ProdID_1001,1/23/2018,82,OnlinePurchase,Purchased a product online
CNTID_1018,OPID_1038,ProdID_1037,5/23/2018,180,OnlinePurchase,Purchased a product online
CNTID_1018,OPID_1039,ProdID_1028,12/11/2018,30,OnlinePurchase,Purchased a product online
CNTID_1018,OPID_1040,ProdID_1013,1/29/2019,125,OnlinePurchase,Purchased a product online
CNTID_1019,OPID_1041,ProdID_1035,8/4/2017,231,OnlinePurchase,Purchased a product online
CNTID_1019,OPID_1042,ProdID_1041,9/8/2018,68,OnlinePurchase,Purchased a product online
CNTID_1019,OPID_1043,ProdID_1019,11/23/2018,52,OnlinePurchase,Purchased a product online
CNTID_1020,OPID_1044,ProdID_1049,1/3/2017,172,OnlinePurchase,Purchased a product online
CNTID_1020,OPID_1045,ProdID_1013,7/29/2017,132,OnlinePurchase,Purchased a product online
CNTID_1020,OPID_1046,ProdID_1037,12/28/2018,183,OnlinePurchase,Purchased a product online
CNTID_1020,OPID_1047,ProdID_1023,2/1/2019,47,OnlinePurchase,Purchased a product online
CNTID_1021,OPID_1048,ProdID_1005,4/22/2017,33,OnlinePurchase,Purchased a product online
