LoyaltyId,PurchaseId,ProductId,PurchasedOn,TotalPrice,RewardPointsAdded,ActivityTypeDisplay,Subject
LOYID_1000,PID_1000,ProdID_1000,2018-12-14,151,75,POS Purchase,Purchased a product In-Store
LOYID_1000,PID_1001,ProdID_1001,2019-04-19,37,15,POS Purchase,Purchased a product In-Store
LOYID_1000,PID_1002,ProdID_1002,2019-05-24,104,104,POS Purchase,Purchased a product In-Store
LOYID_1000,PID_1003,ProdID_1003,2018-07-10,159,159,POS Purchase,Purchased a product In-Store
LOYID_1000,PID_1004,ProdID_1004,2018-05-15,72,420,POS Purchase,Purchased a product In-Store
LOYID_1001,PID_1005,ProdID_1005,2018-04-01,183,90,POS Purchase,Purchased a product In-Store
LOYID_1001,PID_1006,ProdID_1006,2018-04-28,126,36,POS Purchase,Purchased a product In-Store
LOYID_1001,PID_1007,ProdID_1007,2018-11-03,195,34,POS Purchase,Purchased a product In-Store
LOYID_1001,PID_1008,ProdID_1008,2018-12-24,65,24,POS Purchase,Purchased a product In-Store
LOYID_1002,PID_1009,ProdID_1009,2018-09-04,139,34,POS Purchase,Purchased a product In-Store
LOYID_1002,PID_1010,ProdID_1010,2019-01-31,146,32,POS Purchase,Purchased a product In-Store
LOYID_1002,PID_1011,ProdID_1011,2019-02-06,51,40,POS Purchase,Purchased a product In-Store
LOYID_1002,PID_1012,ProdID_1012,2019-02-06,94,37,POS Purchase,Purchased a product In-Store
LOYID_1002,PID_1013,ProdID_1013,2019-02-06,40,21,POS Purchase,Purchased a product In-Store
LOYID_1003,PID_1014,ProdID_1014,2018-11-10,94,24,POS Purchase,Purchased a product In-Store
LOYID_1003,PID_1015,ProdID_1015,2019-01-22,118,48,POS Purchase,Purchased a product In-Store
LOYID_1003,PID_1016,ProdID_1016,2019-01-31,195,49,POS Purchase,Purchased a product In-Store
LOYID_1004,PID_1017,ProdID_1017,2018-07-23,193,45,POS Purchase,Purchased a product In-Store
LOYID_1004,PID_1018,ProdID_1018,2018-10-06,63,33,POS Purchase,Purchased a product In-Store
LOYID_1004,PID_1019,ProdID_1019,2018-10-12,175,35,POS Purchase,Purchased a product In-Store
LOYID_1004,PID_1020,ProdID_1020,2018-11-02,41,33,POS Purchase,Purchased a product In-Store
LOYID_1004,PID_1021,ProdID_1021,2018-12-26,124,22,POS Purchase,Purchased a product In-Store
LOYID_1005,PID_1022,ProdID_1022,2018-12-04,168,26,POS Purchase,Purchased a product In-Store
LOYID_1005,PID_1023,ProdID_1023,2019-02-04,69,30,POS Purchase,Purchased a product In-Store
LOYID_1005,PID_1024,ProdID_1024,2019-02-04,133,37,POS Purchase,Purchased a product In-Store
LOYID_1005,PID_1025,ProdID_1025,2019-02-06,47,20,POS Purchase,Purchased a product In-Store
LOYID_1006,PID_1026,ProdID_1026,2018-01-16,178,22,POS Purchase,Purchased a product In-Store
LOYID_1006,PID_1027,ProdID_1027,2018-04-07,111,28,POS Purchase,Purchased a product In-Store
LOYID_1006,PID_1028,ProdID_1028,2018-05-24,127,20,POS Purchase,Purchased a product In-Store
LOYID_1006,PID_1029,ProdID_1029,2018-12-14,149,27,POS Purchase,Purchased a product In-Store
LOYID_1007,PID_1030,ProdID_1030,2018-09-24,141,43,POS Purchase,Purchased a product In-Store
LOYID_1007,PID_1031,ProdID_1031,2018-10-24,126,24,POS Purchase,Purchased a product In-Store
LOYID_1007,PID_1032,ProdID_1032,2019-01-08,57,21,POS Purchase,Purchased a product In-Store
LOYID_1007,PID_1033,ProdID_1033,2019-01-09,95,20,POS Purchase,Purchased a product In-Store
LOYID_1007,PID_1034,ProdID_1034,2019-01-09,136,26,POS Purchase,Purchased a product In-Store
LOYID_1008,PID_1035,ProdID_1035,2018-10-29,43,36,POS Purchase,Purchased a product In-Store
LOYID_1008,PID_1036,ProdID_1036,2018-12-27,33,25,POS Purchase,Purchased a product In-Store
LOYID_1008,PID_1037,ProdID_1037,2019-01-18,149,46,POS Purchase,Purchased a product In-Store
LOYID_1008,PID_1038,ProdID_1038,2019-02-06,94,45,POS Purchase,Purchased a product In-Store
LOYID_1008,PID_1039,ProdID_1039,2019-02-06,148,32,POS Purchase,Purchased a product In-Store
LOYID_1009,PID_1040,ProdID_1040,2017-04-12,34,37,POS Purchase,Purchased a product In-Store
LOYID_1009,PID_1041,ProdID_1041,2017-10-20,171,44,POS Purchase,Purchased a product In-Store
LOYID_1009,PID_1042,ProdID_1042,2019-01-13,170,43,POS Purchase,Purchased a product In-Store
LOYID_1010,PID_1043,ProdID_1043,2018-06-23,72,33,POS Purchase,Purchased a product In-Store
