ReviewId,UserId,ReviewText,ActivityTypeDisplay,ReviewRating,ReviewDate
REVWID_1000,CNTID_1000,Affordable prices and good quality products,WebsiteReview,5,7/11/2018
REVWID_1001,CNTID_1000,Affordable prices and good quality products,WebsiteReview,5,1/9/2019
REVWID_1002,CNTID_1000,Satisfied with my product,WebsiteReview,4,1/22/2019
REVWID_1003,CNTID_1000,Affordable prices and good quality products,WebsiteReview,5,1/29/2019
REVWID_1004,CNTID_1000,Affordable prices and good quality products,WebsiteReview,5,2/1/2019
REVWID_1005,CNTID_1001,Affordable prices and good quality products,WebsiteReview,5,3/13/2018
REVWID_1006,CNTID_1001,Product is available only in limited colors,WebsiteReview,3,9/23/2018
REVWID_1007,CNTID_1001,The shipment was delayed,WebsiteReview,2,12/20/2018
REVWID_1008,CNTID_1001,Affordable prices and good quality products,WebsiteReview,5,1/10/2019
REVWID_1009,CNTID_1001,Affordable prices and good quality products,WebsiteReview,5,1/12/2019
REVWID_1010,CNTID_1002,Affordable prices and good quality products,WebsiteReview,5,2/21/2018
REVWID_1011,CNTID_1002,Satisfied with my product,WebsiteReview,4,12/25/2018
REVWID_1012,CNTID_1002,Product is available only in limited colors,WebsiteReview,3,1/7/2019
REVWID_1013,CNTID_1003,Affordable prices and good quality products,WebsiteReview,5,8/23/2018
REVWID_1014,CNTID_1003,Affordable prices and good quality products,WebsiteReview,5,12/3/2018
REVWID_1015,CNTID_1003,Affordable prices and good quality products,WebsiteReview,5,1/10/2019
REVWID_1016,CNTID_1004,Product is available only in limited colors,WebsiteReview,3,7/13/2018
REVWID_1017,CNTID_1004,The shipment was delayed,WebsiteReview,2,8/26/2018
REVWID_1018,CNTID_1004,Affordable prices and good quality products,WebsiteReview,5,1/5/2019
REVWID_1019,CNTID_1005,Product is available only in limited colors,WebsiteReview,3,1/19/2019
REVWID_1020,CNTID_1005,Product is available only in limited colors,WebsiteReview,3,1/27/2019
REVWID_1021,CNTID_1005,The shipment was delayed,WebsiteReview,2,2/5/2019
REVWID_1022,CNTID_1005,Satisfied with my product,WebsiteReview,4,2/6/2019
REVWID_1023,CNTID_1006,The shipment was delayed,WebsiteReview,2,10/5/2018
REVWID_1024,CNTID_1006,Product is available only in limited colors,WebsiteReview,3,11/20/2018
REVWID_1025,CNTID_1006,Product is available only in limited colors,WebsiteReview,3,1/20/2019
REVWID_1026,CNTID_1006,The shipment was delayed,WebsiteReview,2,1/31/2019
REVWID_1027,CNTID_1007,The shipment was delayed,WebsiteReview,2,11/26/2018
REVWID_1028,CNTID_1007,Product is available only in limited colors,WebsiteReview,3,1/17/2019
REVWID_1029,CNTID_1007,Product is available only in limited colors,WebsiteReview,3,1/25/2019
REVWID_1030,CNTID_1007,Affordable prices and good quality products,WebsiteReview,5,2/2/2019
REVWID_1031,CNTID_1007,Product is available only in limited colors,WebsiteReview,3,2/5/2019
REVWID_1032,CNTID_1008,Satisfied with my product,WebsiteReview,4,12/2/2018
REVWID_1033,CNTID_1008,Product is available only in limited colors,WebsiteReview,3,1/8/2019
REVWID_1034,CNTID_1008,The shipment was delayed,WebsiteReview,2,1/15/2019
REVWID_1035,CNTID_1008,The shipment was delayed,WebsiteReview,2,1/23/2019
REVWID_1036,CNTID_1009,Product is available only in limited colors,WebsiteReview,3,9/7/2018
REVWID_1037,CNTID_1009,Satisfied with my product,WebsiteReview,4,1/31/2019
REVWID_1038,CNTID_1009,Affordable prices and good quality products,WebsiteReview,5,2/3/2019
REVWID_1039,CNTID_1009,Satisfied with my product,WebsiteReview,4,2/3/2019
REVWID_1040,CNTID_1009,Product is available only in limited colors,WebsiteReview,3,2/5/2019
REVWID_1041,CNTID_1010,The shipment was delayed,WebsiteReview,2,5/6/2018
REVWID_1042,CNTID_1010,Satisfied with my product,WebsiteReview,4,9/22/2018
REVWID_1043,CNTID_1010,The shipment was delayed,WebsiteReview,2,1/14/2019
REVWID_1044,CNTID_1010,The shipment was delayed,WebsiteReview,2,1/16/2019
REVWID_1045,CNTID_1011,Satisfied with my product,WebsiteReview,4,7/27/2018
REVWID_1046,CNTID_1011,The shipment was delayed,WebsiteReview,2,1/9/2019
REVWID_1047,CNTID_1011,The shipment was delayed,WebsiteReview,2,1/14/2019
REVWID_1048,CNTID_1012,Satisfied with my product,WebsiteReview,4,11/14/2018
REVWID_1049,CNTID_1012,Product is available only in limited colors,WebsiteReview,3,1/20/2019
REVWID_1050,CNTID_1012,Product is available only in limited colors,WebsiteReview,3,1/28/2019
REVWID_1051,CNTID_1013,Affordable prices and good quality products,WebsiteReview,5,2/25/2018
REVWID_1052,CNTID_1013,Affordable prices and good quality products,WebsiteReview,5,3/13/2018
REVWID_1053,CNTID_1013,The shipment was delayed,WebsiteReview,2,7/29/2018
REVWID_1054,CNTID_1014,Affordable prices and good quality products,WebsiteReview,5,6/28/2018
REVWID_1055,CNTID_1014,The shipment was delayed,WebsiteReview,2,6/29/2018
REVWID_1056,CNTID_1014,Affordable prices and good quality products,WebsiteReview,5,9/7/2018
REVWID_1057,CNTID_1014,Affordable prices and good quality products,WebsiteReview,5,12/30/2018
REVWID_1058,CNTID_1014,Product is available only in limited colors,WebsiteReview,3,1/29/2019
REVWID_1059,CNTID_1015,The shipment was delayed,WebsiteReview,2,7/27/2018
REVWID_1060,CNTID_1015,The shipment was delayed,WebsiteReview,2,8/22/2018
REVWID_1061,CNTID_1015,Product is available only in limited colors,WebsiteReview,3,1/8/2019
REVWID_1062,CNTID_1015,Product is available only in limited colors,WebsiteReview,3,1/26/2019
REVWID_1063,CNTID_1015,Satisfied with my product,WebsiteReview,4,2/5/2019
REVWID_1064,CNTID_1016,Product is available only in limited colors,WebsiteReview,3,1/12/2018
REVWID_1065,CNTID_1016,Satisfied with my product,WebsiteReview,4,7/13/2018
REVWID_1066,CNTID_1016,The shipment was delayed,WebsiteReview,2,12/17/2018
REVWID_1067,CNTID_1017,Satisfied with my product,WebsiteReview,4,12/18/2018
REVWID_1068,CNTID_1017,Product is available only in limited colors,WebsiteReview,3,1/5/2019
REVWID_1069,CNTID_1017,Product is available only in limited colors,WebsiteReview,3,1/30/2019
REVWID_1070,CNTID_1017,Satisfied with my product,WebsiteReview,4,2/4/2019
REVWID_1071,CNTID_1017,The shipment was delayed,WebsiteReview,2,2/5/2019
REVWID_1072,CNTID_1018,Satisfied with my product,WebsiteReview,4,4/12/2018
REVWID_1073,CNTID_1018,The shipment was delayed,WebsiteReview,2,9/12/2018
REVWID_1074,CNTID_1018,Affordable prices and good quality products,WebsiteReview,5,11/24/2018
REVWID_1075,CNTID_1018,Satisfied with my product,WebsiteReview,4,1/9/2019
REVWID_1076,CNTID_1018,The shipment was delayed,WebsiteReview,2,1/19/2019
REVWID_1077,CNTID_1019,Affordable prices and good quality products,WebsiteReview,5,11/7/2018
REVWID_1078,CNTID_1019,Product is available only in limited colors,WebsiteReview,3,11/8/2018
REVWID_1079,CNTID_1019,Affordable prices and good quality products,WebsiteReview,5,2/5/2019
REVWID_1080,CNTID_1019,The shipment was delayed,WebsiteReview,2,2/5/2019
REVWID_1081,CNTID_1019,Satisfied with my product,WebsiteReview,4,2/6/2019
REVWID_1082,CNTID_1020,Satisfied with my product,WebsiteReview,4,12/23/2018
REVWID_1083,CNTID_1020,Satisfied with my product,WebsiteReview,4,2/2/2019
REVWID_1084,CNTID_1020,Satisfied with my product,WebsiteReview,4,2/6/2019
REVWID_1085,CNTID_1021,The shipment was delayed,WebsiteReview,2,3/25/2018
REVWID_1086,CNTID_1021,Product is available only in limited colors,WebsiteReview,3,4/12/2018
REVWID_1087,CNTID_1021,Satisfied with my product,WebsiteReview,4,5/17/2018
REVWID_1088,CNTID_1021,Product is available only in limited colors,WebsiteReview,3,8/23/2018
REVWID_1089,CNTID_1021,The shipment was delayed,WebsiteReview,2,9/27/2018
REVWID_1090,CNTID_1022,Affordable prices and good quality products,WebsiteReview,5,4/30/2018
REVWID_1091,CNTID_1022,The shipment was delayed,WebsiteReview,2,6/4/2018
REVWID_1092,CNTID_1022,Product is available only in limited colors,WebsiteReview,3,2/4/2019
REVWID_1093,CNTID_1022,Affordable prices and good quality products,WebsiteReview,5,2/5/2019
REVWID_1094,CNTID_1022,Product is available only in limited colors,WebsiteReview,3,2/5/2019
REVWID_1095,CNTID_1023,Product is available only in limited colors,WebsiteReview,3,6/15/2018
REVWID_1096,CNTID_1023,Satisfied with my product,WebsiteReview,4,9/13/2018
REVWID_1097,CNTID_1023,Satisfied with my product,WebsiteReview,4,11/28/2018
REVWID_1098,CNTID_1024,Product is available only in limited colors,WebsiteReview,3,7/31/2018
REVWID_1099,CNTID_1024,Product is available only in limited colors,WebsiteReview,3,8/23/2018
REVWID_1100,CNTID_1024,The shipment was delayed,WebsiteReview,2,11/10/2018
REVWID_1101,CNTID_1024,Affordable prices and good quality products,WebsiteReview,5,2/1/2019
REVWID_1102,CNTID_1024,Affordable prices and good quality products,WebsiteReview,5,2/2/2019
REVWID_1103,CNTID_1025,Satisfied with my product,WebsiteReview,4,6/22/2018
REVWID_1104,CNTID_1025,Satisfied with my product,WebsiteReview,4,9/14/2018
REVWID_1105,CNTID_1025,The shipment was delayed,WebsiteReview,2,11/22/2018
REVWID_1106,CNTID_1026,Affordable prices and good quality products,WebsiteReview,5,12/2/2018
REVWID_1107,CNTID_1026,Satisfied with my product,WebsiteReview,4,1/1/2019
REVWID_1108,CNTID_1026,Product is available only in limited colors,WebsiteReview,3,1/6/2019
REVWID_1109,CNTID_1027,The shipment was delayed,WebsiteReview,2,9/15/2018
REVWID_1110,CNTID_1027,Satisfied with my product,WebsiteReview,4,10/8/2018
REVWID_1111,CNTID_1027,Product is available only in limited colors,WebsiteReview,3,12/29/2018
REVWID_1112,CNTID_1027,Affordable prices and good quality products,WebsiteReview,5,1/19/2019
REVWID_1113,CNTID_1028,Satisfied with my product,WebsiteReview,4,11/3/2018
REVWID_1114,CNTID_1028,The shipment was delayed,WebsiteReview,2,12/31/2018
REVWID_1115,CNTID_1028,Product is available only in limited colors,WebsiteReview,3,1/22/2019
REVWID_1116,CNTID_1028,Satisfied with my product,WebsiteReview,4,2/1/2019
REVWID_1117,CNTID_1029,Satisfied with my product,WebsiteReview,4,3/10/2018
REVWID_1118,CNTID_1029,Affordable prices and good quality products,WebsiteReview,5,4/17/2018
REVWID_1119,CNTID_1029,The shipment was delayed,WebsiteReview,2,11/2/2018
REVWID_1120,CNTID_1030,Satisfied with my product,WebsiteReview,4,8/8/2018
REVWID_1121,CNTID_1030,Affordable prices and good quality products,WebsiteReview,5,11/27/2018
REVWID_1122,CNTID_1030,The shipment was delayed,WebsiteReview,2,1/23/2019
REVWID_1123,CNTID_1030,Satisfied with my product,WebsiteReview,4,2/5/2019
REVWID_1124,CNTID_1031,Satisfied with my product,WebsiteReview,4,11/19/2018
REVWID_1125,CNTID_1031,Product is available only in limited colors,WebsiteReview,3,1/29/2019
REVWID_1126,CNTID_1031,The shipment was delayed,WebsiteReview,2,2/1/2019
REVWID_1127,CNTID_1031,Product is available only in limited colors,WebsiteReview,3,2/4/2019
REVWID_1128,CNTID_1032,Satisfied with my product,WebsiteReview,4,6/4/2018
REVWID_1129,CNTID_1032,Product is available only in limited colors,WebsiteReview,3,10/26/2018
REVWID_1130,CNTID_1032,The shipment was delayed,WebsiteReview,2,1/23/2019
REVWID_1131,CNTID_1033,Affordable prices and good quality products,WebsiteReview,5,9/13/2018
REVWID_1132,CNTID_1033,The shipment was delayed,WebsiteReview,2,10/13/2018
REVWID_1133,CNTID_1033,The shipment was delayed,WebsiteReview,2,10/16/2018
REVWID_1134,CNTID_1033,Product is available only in limited colors,WebsiteReview,3,10/27/2018
REVWID_1135,CNTID_1034,Product is available only in limited colors,WebsiteReview,3,11/10/2018
REVWID_1136,CNTID_1034,Product is available only in limited colors,WebsiteReview,3,2/4/2019
REVWID_1137,CNTID_1034,Satisfied with my product,WebsiteReview,4,2/4/2019
REVWID_1138,CNTID_1034,The shipment was delayed,WebsiteReview,2,2/5/2019
REVWID_1139,CNTID_1035,The shipment was delayed,WebsiteReview,2,1/31/2018
REVWID_1140,CNTID_1035,Affordable prices and good quality products,WebsiteReview,5,2/7/2018
REVWID_1141,CNTID_1035,Affordable prices and good quality products,WebsiteReview,5,9/29/2018
REVWID_1142,CNTID_1035,Affordable prices and good quality products,WebsiteReview,5,12/16/2018
REVWID_1143,CNTID_1036,Affordable prices and good quality products,WebsiteReview,5,1/12/2018
REVWID_1144,CNTID_1036,The shipment was delayed,WebsiteReview,2,9/21/2018
REVWID_1145,CNTID_1036,Product is available only in limited colors,WebsiteReview,3,11/1/2018
REVWID_1146,CNTID_1036,Affordable prices and good quality products,WebsiteReview,5,11/8/2018
REVWID_1147,CNTID_1037,Affordable prices and good quality products,WebsiteReview,5,2/24/2018
REVWID_1148,CNTID_1037,Affordable prices and good quality products,WebsiteReview,5,12/17/2018
REVWID_1149,CNTID_1037,Satisfied with my product,WebsiteReview,4,12/29/2018
REVWID_1150,CNTID_1037,Satisfied with my product,WebsiteReview,4,1/29/2019
REVWID_1151,CNTID_1037,Affordable prices and good quality products,WebsiteReview,5,2/3/2019
REVWID_1152,CNTID_1038,Satisfied with my product,WebsiteReview,4,11/21/2018
REVWID_1153,CNTID_1038,The shipment was delayed,WebsiteReview,2,11/28/2018
REVWID_1154,CNTID_1038,Product is available only in limited colors,WebsiteReview,3,12/18/2018
REVWID_1155,CNTID_1038,Satisfied with my product,WebsiteReview,4,1/24/2019
REVWID_1156,CNTID_1038,Satisfied with my product,WebsiteReview,4,2/4/2019
REVWID_1157,CNTID_1039,Affordable prices and good quality products,WebsiteReview,5,1/1/2018
REVWID_1158,CNTID_1039,Product is available only in limited colors,WebsiteReview,3,1/14/2019
REVWID_1159,CNTID_1039,The shipment was delayed,WebsiteReview,2,2/5/2019
REVWID_1160,CNTID_1039,The shipment was delayed,WebsiteReview,2,2/6/2019
REVWID_1161,CNTID_1039,Product is available only in limited colors,WebsiteReview,3,2/6/2019
REVWID_1162,CNTID_1040,The shipment was delayed,WebsiteReview,2,9/3/2018
REVWID_1163,CNTID_1040,Satisfied with my product,WebsiteReview,4,11/2/2018
REVWID_1164,CNTID_1040,Affordable prices and good quality products,WebsiteReview,5,2/5/2019
REVWID_1165,CNTID_1040,Product is available only in limited colors,WebsiteReview,3,2/6/2019
REVWID_1166,CNTID_1040,Satisfied with my product,WebsiteReview,4,2/6/2019
REVWID_1167,CNTID_1041,Product is available only in limited colors,WebsiteReview,3,10/20/2018
REVWID_1168,CNTID_1041,Satisfied with my product,WebsiteReview,4,11/27/2018
REVWID_1169,CNTID_1041,Satisfied with my product,WebsiteReview,4,11/28/2018
REVWID_1170,CNTID_1041,Affordable prices and good quality products,WebsiteReview,5,2/5/2019
REVWID_1171,CNTID_1042,Affordable prices and good quality products,WebsiteReview,5,8/29/2018
REVWID_1172,CNTID_1042,The shipment was delayed,WebsiteReview,2,12/28/2018
REVWID_1173,CNTID_1042,Satisfied with my product,WebsiteReview,4,1/31/2019
REVWID_1174,CNTID_1042,Affordable prices and good quality products,WebsiteReview,5,2/2/2019
REVWID_1175,CNTID_1043,Product is available only in limited colors,WebsiteReview,3,8/5/2018
REVWID_1176,CNTID_1043,Product is available only in limited colors,WebsiteReview,3,12/3/2018
REVWID_1177,CNTID_1043,Affordable prices and good quality products,WebsiteReview,5,1/3/2019
REVWID_1178,CNTID_1044,Satisfied with my product,WebsiteReview,4,1/13/2018
REVWID_1179,CNTID_1044,Affordable prices and good quality products,WebsiteReview,5,6/17/2018
REVWID_1180,CNTID_1044,Affordable prices and good quality products,WebsiteReview,5,10/11/2018
REVWID_1181,CNTID_1044,Product is available only in limited colors,WebsiteReview,3,12/11/2018
REVWID_1182,CNTID_1045,Product is available only in limited colors,WebsiteReview,3,2/5/2018
REVWID_1183,CNTID_1045,Satisfied with my product,WebsiteReview,4,12/8/2018
REVWID_1184,CNTID_1045,The shipment was delayed,WebsiteReview,2,1/20/2019
REVWID_1185,CNTID_1046,Affordable prices and good quality products,WebsiteReview,5,10/1/2018
REVWID_1186,CNTID_1046,Affordable prices and good quality products,WebsiteReview,5,12/12/2018
REVWID_1187,CNTID_1046,Affordable prices and good quality products,WebsiteReview,5,1/6/2019
REVWID_1188,CNTID_1047,Satisfied with my product,WebsiteReview,4,3/22/2018
REVWID_1189,CNTID_1047,The shipment was delayed,WebsiteReview,2,4/11/2018
REVWID_1190,CNTID_1047,Product is available only in limited colors,WebsiteReview,3,12/5/2018
REVWID_1191,CNTID_1048,Product is available only in limited colors,WebsiteReview,3,8/13/2018
REVWID_1192,CNTID_1048,The shipment was delayed,WebsiteReview,2,1/27/2019
REVWID_1193,CNTID_1048,Product is available only in limited colors,WebsiteReview,3,2/2/2019
REVWID_1194,CNTID_1048,The shipment was delayed,WebsiteReview,2,2/2/2019
REVWID_1195,CNTID_1049,Satisfied with my product,WebsiteReview,4,4/17/2018
REVWID_1196,CNTID_1049,The shipment was delayed,WebsiteReview,2,12/11/2018
REVWID_1197,CNTID_1049,Affordable prices and good quality products,WebsiteReview,5,1/9/2019
REVWID_1198,CNTID_1050,Satisfied with my product,WebsiteReview,4,6/14/2018
REVWID_1199,CNTID_1050,Affordable prices and good quality products,WebsiteReview,5,8/24/2018
REVWID_1200,CNTID_1050,The shipment was delayed,WebsiteReview,2,12/5/2018
REVWID_1201,CNTID_1050,Affordable prices and good quality products,WebsiteReview,5,1/5/2019
REVWID_1202,CNTID_1050,The shipment was delayed,WebsiteReview,2,1/20/2019
REVWID_1203,CNTID_1051,Product is available only in limited colors,WebsiteReview,3,3/30/2018
REVWID_1204,CNTID_1051,Affordable prices and good quality products,WebsiteReview,5,8/2/2018
REVWID_1205,CNTID_1051,Product is available only in limited colors,WebsiteReview,3,12/13/2018
REVWID_1206,CNTID_1051,The shipment was delayed,WebsiteReview,2,2/3/2019
REVWID_1207,CNTID_1051,Affordable prices and good quality products,WebsiteReview,5,2/4/2019
REVWID_1208,CNTID_1052,Affordable prices and good quality products,WebsiteReview,5,2/9/2018
REVWID_1209,CNTID_1052,The shipment was delayed,WebsiteReview,2,5/28/2018
REVWID_1210,CNTID_1052,The shipment was delayed,WebsiteReview,2,7/7/2018
REVWID_1211,CNTID_1052,The shipment was delayed,WebsiteReview,2,11/16/2018
REVWID_1212,CNTID_1052,The shipment was delayed,WebsiteReview,2,1/2/2019
REVWID_1213,CNTID_1053,The shipment was delayed,WebsiteReview,2,6/25/2018
REVWID_1214,CNTID_1053,Satisfied with my product,WebsiteReview,4,11/22/2018
REVWID_1215,CNTID_1053,Affordable prices and good quality products,WebsiteReview,5,11/24/2018
REVWID_1216,CNTID_1053,The shipment was delayed,WebsiteReview,2,11/30/2018
REVWID_1217,CNTID_1054,Satisfied with my product,WebsiteReview,4,10/19/2018
REVWID_1218,CNTID_1054,Product is available only in limited colors,WebsiteReview,3,1/12/2019
REVWID_1219,CNTID_1054,The shipment was delayed,WebsiteReview,2,1/22/2019
REVWID_1220,CNTID_1054,Satisfied with my product,WebsiteReview,4,1/28/2019
REVWID_1221,CNTID_1055,Product is available only in limited colors,WebsiteReview,3,11/22/2018
REVWID_1222,CNTID_1055,Satisfied with my product,WebsiteReview,4,1/12/2019
